region,plz
9274126,84030
9274127,84061
9183116,84513
9277118,94140
9778136,87746
9679128,97250
9562000,91052
9562000,91054
9562000,91056
9562000,91058
9171115,84567
9676122,63906
9677125,97837
9674223,96126
9186116,85119
9676123,63863
9374117,92676
9180114,82438
9372124,93458
9374118,92693
9677126,97839
9274128,84051
9273121,93343
9679130,97230
9180115,82488
9577127,91796
9778137,86833
9371140,92268
9374119,92694
9678128,97502
9672122,97717
9771129,86495
9173123,82547
9677127,97776
9178123,85777
9277119,84326
9377117,95685
9278120,94350
9372125,93167
9180116,82490
9676124,97906
9171116,84550
9475123,95183
9188118,82340
9278121,94351
9184118,85622
9187130,83620
9677128,97778
9778139,87748
9376125,92269
9574123,90537
9571145,91555
9472138,95686
9181120,86923
9773150,89435
9177118,85464
9772141,86850
9182114,83730
9780121,87538
9571146,91604
9673123,97650
9187131,83126
9374121,92685
9374122,92696
9474126,91301
9779146,86735
9177119,85659
9175118,85661
9677129,97833
9678130,97447
9187132,83112
9276121,94258
9175119,83553
9177120,85447
9371121,92271
9172118,83395
9178124,85354
9178124,85356
9779147,86742
9471131,96158
9371122,92272
9373126,92342
9272118,94078
9679131,97252
9189118,83413
9771130,86316
9377118,95688
9777128,87654
9279115,84160
9377119,95689
9672124,97727
9181121,86925
9779148,86681
9272119,94142
9179121,82256
9275121,94538
9275122,94081
9274132,84095
9563000,90762
9563000,90763
9563000,90765
9563000,90766
9563000,90768
9372126,93437
9777129,87629
9772145,86456
9185131,86565
9674139,97503
9176126,85080
9173124,83674
9575124,91605
9178125,85408
9277121,84140
9171117,84518
9184119,85748
9180117,82467
9180117,82475
9183118,83536
9183118,83546
9183118,83555
9183118,83559
9475127,95185
9679134,97253
9188120,82131
9371123,92274
9571152,91607
9472139,95482
9276122,94244
9671119,63826
9278123,94333
9675127,96160
9186122,85290
9274134,84144
9679135,97255
9678132,97505
9181122,82269
9677131,97737
9779149,86682
9374123,92697
9576121,91166
9471133,96161
9277122,84552
9679136,97218
9173126,82538
9575125,91466
9777130,87656
9179123,82110
9672126,97779
9475128,95179
9679137,97256
9571154,91726
9186125,85302
9678134,97447
9772147,86368
9274135,84175
9472140,95494
9571155,91608
9772148,86459
9776112,88167
9679138,97232
9188121,82205
9472141,95496
9671120,63864
9376131,92723
9372128,93477
9175121,85625
9773133,89353
9182116,83703
9577133,91728
9678135,97469
9671121,63773
9472143,95497
9575127,97258
9777131,87657
9677132,97780
9474129,91327
9276123,94239
9279116,84177
9772149,86836
9189119,83355
9184120,82166
9272120,94481
9474132,91322
9677133,97782
9477117,95356
9678136,97506
9372130,93479
9374124,92655
9175122,85567
9271122,94539
9179125,82284
9180118,82491
9272121,94143
9184121,85630
9189120,83224
9271123,94541
9576122,91171
9181123,86926
9173127,83677
9572126,91350
9678138,97508
9679141,97259
9187134,83556
9179126,82194
9772151,86845
9673126,97633
9673127,97633
9572127,91091
9573115,90613
9473132,96269
9676125,63920
9187137,83109
9675131,97320
9176129,85098
9671122,63762
9676126,63868
9180119,82439
9473134,96271
9776113,88167
9184122,82031
9187138,83257
9773136,89423
9471137,96163
9774136,89355
9679142,97261
9777138,87634
9774135,89312
9577136,91710
9376133,92543
9575128,91468
9477118,95358
9472146,95473
9178129,85410
9183119,83527
9184123,85540
9275125,94501
9275125,94542
9190126,82392
9677135,97840
9375143,93095
9575129,91469
9371126,92256
9671124,63808
9278129,94353
9272122,94145
9174121,85778
9171118,84533
9779154,86744
9777173,87642
9780122,87490
9774140,89356
9187139,83128
9178130,85399
9474133,91352
9471140,96103
9171119,84553
9672127,97762
9574128,91230
9779155,86655
9477119,95499
9574129,91235
9278134,94354
9677137,97907
9674147,97437
9179128,82285
9577138,91729
9773137,89437
9673129,97647
9676128,63840
9273125,93345
9474134,91353
9679143,97262
9182119,83734
9275126,94051
9778149,87749
9277124,84332
9174122,85241
9174122,85764
9576126,91180
9577140,91719
9671126,63869
9471142,91332
9571165,91560
9671127,63872
9776114,88178
9778150,87751
9472150,95500
9671128,63871
9183120,84431
9475136,95233
9679144,97264
9375148,93155
9572130,91334
9575130,97258
9673130,97640
9574131,91239
9271125,94491
9176131,85120
9673131,97633
9772156,86465
9776131,88145
9776115,88138
9474135,91336
9572131,90562
9571166,91567
9273127,84097
9188124,82211
9574132,91217
9572132,91074
9572133,91093
9186126,85276
9186126,85304
9186126,85307
9679146,97265
9474137,91077
9673133,97618
9174147,86567
9576127,91161
9772157,86856
9474138,91355
9477121,95502
9677142,97267
9272126,94146
9471145,96114
9371127,92242
9371128,92275
9176132,85122
9679147,97204
9673134,97633
9572135,91315
9773139,89420
9478127,96272
9479126,95186
9464000,95028
9464000,95030
9464000,95032
9674149,97461
9275127,94544
9181124,86928
9779162,86745
9272127,94545
9479127,95691
9184129,85521
9184129,85662
9371129,92277
9373134,92366
9190129,86978
9178133,85411
9184127,85635
9175123,85664
9190130,82383
9177121,84432
9673135,97618
9274141,84098
9186128,86558
9372135,93480
9771140,86568
9472154,96142
9673136,97618
9778151,87752
9775126,89291
9773140,89438
9779163,86684
9375153,93183
9679149,97292
9182120,83607
9777135,87659
9772159,86497
9178132,85413
9671130,63768
9187145,83129
9577141,91798
9190131,82386
9779167,86685
9472155,95503
9278139,94336
9271126,94551
9181126,86857
9275128,94116
9774143,89335
9173130,82057
9190132,82393
9474140,91338
9271127,94547
9181127,86859
9273133,93346
9775129,89257
9575133,91471
9371131,92278
9186130,85304
9377127,95505
9780124,87509
9771141,86570
9190133,86980
9161000,85049
9161000,85051
9161000,85053
9161000,85055
9161000,85057
9272128,94548
9188126,82266
9177122,84416
9571169,91610
9189124,83334
9675139,97346
9575134,97258
9575135,91472
9374127,92699
9278140,94342
9182123,83737
9777139,87660
9177123,84424
9184130,85737
9475137,95188
9473138,96274
9173131,83676
9272129,94118
9777140,86860
9179130,82287
9183122,84555
9774144,89343
9186132,85305
9671133,63867
9277126,84381
9277127,84387
9671134,63796
9779169,86687
9572137,90562
9375156,93183
9777141,87662
9774145,89358
9576128,91126
9778180,87754
9677146,97842
9174126,85757
9185139,86668
9185140,85123
9677148,97753
9671114,63791
9677149,97783
9477124,95359
9171121,84556
9377128,95506
9371132,92280
9762000,87600
9181128,86916
9273137,93309
9775132,89293
9471150,96164
9377129,95478
9763000,87435
9763000,87437
9763000,87439
9778221,86498
9187148,83088
9189126,83361
9176137,85125
9181129,86981
9176138,85110
9189127,83329
9189127,83417
9177124,84434
9276126,94259
9183123,83527
9273139,93348
9277128,84375
9178136,85414
9276127,94261
9474143,91356
9374128,92665
9479129,95158
9472156,95466
9574135,91241
9374129,91281
9275130,94148
9778157,87755
9679153,97268
9184131,85551
9778158,87757
9674160,96166
9278141,94356
9175124,85614
9171122,84558
9676131,63931
9771142,86438
9679154,97270
9675141,97318
9772160,86507
9676132,63924
9671135,63828
9675142,97355
9671136,63801
9679155,97271
9474144,91077
9676133,63839
9676134,63911
9772162,86836
9674163,97478
9173133,82431
9173133,82432
9475141,95189
9477127,95361
9375161,93096
9374131,92702
9187150,83059
9678150,97509
9276128,94262
9674164,97486
9772163,86343
9173134,82549
9471151,96167
9185163,86669
9371135,92281
9377131,95692
9475142,95176
9278143,94357
9176139,85092
9275131,94149
9179131,82288
9774148,89359
9777144,87647
9183124,84559
9188127,82152
9188127,82349
9178137,85402
9182124,83708
9677151,97892
9671138,63829
9476145,96317
9778161,87758
9274145,84178
9774150,86381
9377132,92703
9180122,82467
9180122,82493
9180122,82494
9771144,86556
9772166,86707
9377133,95508
9477128,95326
9477128,96369
9274146,84036
9371136,92245
9474145,91358
9271128,94550
9477129,95362
9476146,96328
9679156,97273
9772167,86500
9375162,93164
9278144,84082
9778162,87760
9271130,94551
9372138,93462
9777145,86862
9279122,94405
9774151,89361
9181130,86899
9181130,86932
9179132,82290
9261000,84028
9261000,84030
9261000,84032
9261000,84034
9261000,84036
9276129,94264
9577148,91799
9178138,85416
9575138,91474
9185143,86571
9772168,86863
9177126,85465
9474146,91094
9573120,90579
9772170,86853
9571170,91731
9273141,84085
9772171,86462
9375165,93138
9780125,87493
9778163,87761
9676135,63925
9671139,63846
9574138,91207
9172122,83410
9773143,86502
9773144,89415
9471152,96169
9373140,92283
9473141,96486
9778164,87763
9777147,86983
9778165,87764
9571171,91611
9278146,94339
9676136,63849
9679200,97274
9574139,91227
9774155,89340
9177127,84435
9777149,87663
9173135,83661
9176143,85101
9377137,95666
9374132,92705
9475145,95191
9474147,91359
9571174,91578
9571175,91586
9475146,95192
9478139,96215
9776116,88131
9276130,94227
9776117,88161
9471154,96170
9471155,96123
9372178,93470
9183125,84494
9677155,97816
9279124,84180
9278147,94359
9572139,91475
9477135,95364
9476152,96337
9374133,92706
9678153,97511
9373143,92331
9773146,89440
9377139,95695
9776118,88167
9779176,86747
9671140,63814
9675144,97350
9273147,84048
9477136,95336
9675146,97320
